model,seed,Recall@10,NDCG@10,MRR,gender_recall_gap,age_band_recall_gap,disability_recall_gap,imd_binary_recall_gap,gender_SPD,gender_EOD,gender_AOD,age_band_SPD,age_band_EOD,age_band_AOD,disability_SPD,disability_EOD,disability_AOD,imd_SPD,imd_EOD,imd_AOD,run_time_sec
sasrec_fair_lam2.0,0,0.02454712979381802,0.012149777865126271,0.00843668923360172,0.006343374224338415,0.006090536423337602,0.0003913311465740185,0.009115873063516727,0.0014175730735091,0.006343374224338415,0.003850117316653124,0.006878253105925734,-0.003830972410297468,0.0015816663071626744,-0.0031640795097965593,0.0003913311465740185,-0.0014066033981476253,-0.002975852747465202,0.0053475021716175505,0.00114039090047836,258.26359272003174
sasrec_rerank_a0.1,0,0.0401237787281388,0.02203862312390893,0.01659372011150461,0.0014683140634931188,0.012838956041706873,0.004719203968880682,0.01447922655343882,0.001282598240228694,0.0014683140634931188,0.0013723433215011432,0.006904677762160236,-0.0070777484000247234,-1.2101596080695692e-05,-0.0033226077186218617,0.004719203968880682,0.0006556659852244677,-0.002880500425417945,0.011993795665714062,0.004477752630004883,377.56737542152405
sasrec_rerank_a0.3,0,0.0381766976113487,0.02129180838013879,0.01619467334237335,0.0011619217670204712,0.01580235434466062,0.005276451301468005,0.01506145104350175,0.001436074248588659,0.0011619217670204712,0.0012979832828763117,0.006759414457491092,-0.007106095556521967,-9.94167597321502e-05,-0.0031227827832989302,0.005276451301468005,0.0010322266104395676,-0.002903279653991335,0.011192518750822486,0.004069696578836709,377.6478362083435
sasrec_rerank_a0.5,0,0.0364382323285004,0.020528115874306797,0.015706068016488377,0.001326117705841942,0.01416203224504833,0.006401554382921337,0.013934906301493005,0.0013003095601401699,0.001326117705841942,0.001310358136871085,0.006670555743308805,-0.007432683094766905,-0.00030579335604564994,-0.003065088616046062,0.006401554382921337,0.0016179715799227862,-0.002871646791588661,0.010514701326072448,0.0037502244915654445,377.8623278141022
sasrec_rerank_a0.7,0,0.035429922464448385,0.019595754513296426,0.014797388769955788,0.001305822835036205,0.012969070718057581,0.005919940615085419,0.01450212302214916,0.0012926250624000005,0.001305822835036205,0.0012962735993131379,0.006809517392115341,-0.006818224402440048,6.846624281703524e-05,-0.0032148566089539796,0.005919940615085419,0.0013039453495184254,-0.0029454326298951478,0.009717635042812069,0.0033185374129925185,378.6704261302948
sasrec_rerank_a1.0,0,0.032474531483606274,0.017538090832989853,0.01304387058533298,0.0021062431343157467,0.02444401560206546,0.007193644836610252,0.017128867482935396,0.0013324245089373563,0.0021062431343157467,0.001711943529670041,0.006793315568475997,-0.005901298272162306,0.0005140693161716434,-0.0031602194910374665,0.007193644836610252,0.001961601902682561,-0.002922089113814516,0.011312396061815087,0.004119167215628135,323.0304682254791
llm,0,0.018,0.0067118855487150325,0.0034246031746031744,0.0008384932920536652,0.015675500969618616,0.004117985060333267,0.024291497975708502,-0.0037694796965434887,-0.0008384932920536652,-0.0023292734332012715,0.0035577938347316693,0.015675500969618616,0.009552236941114893,-0.012359498800186032,0.004117985060333267,-0.004211309497102652,0.0021037396121020707,0.011415961495021807,0.006710972108883858,769.7129652500153
sasrec,1,0.04158408956573137,0.02268293735379894,0.01696638635983582,0.004057989543953235,0.01442957141102788,0.004700625355031338,0.01671018919794632,0.001440815698692706,0.004057989543953235,0.0027338120965523724,0.006749134972208297,-0.007511358100017948,-0.00030529619358651144,-0.002928674510814633,0.004700625355031338,0.0008455806605279712,-0.0026099863076306518,0.01139786559940352,0.004319694137090296,403.3518524169922
sasrec_fair_lam0.0,1,0.04158408956573137,0.02268293735379894,0.01696638635983582,0.004057989543953235,0.01442957141102788,0.004700625355031338,0.01671018919794632,0.001440815698692706,0.004057989543953235,0.0027338120965523724,0.006749134972208297,-0.007511358100017948,-0.00030529619358651144,-0.002928674510814633,0.004700625355031338,0.0008455806605279712,-0.0026099863076306518,0.01139786559940352,0.004319694137090296,403.3518524169922
sasrec_rerank_a0.0,1,0.04158408956573137,0.02268293735379894,0.01696638635983582,0.004057989543953235,0.01442957141102788,0.004700625355031338,0.01671018919794632,0.001440815698692706,0.004057989543953235,0.0027338120965523724,0.006749134972208297,-0.007511358100017948,-0.00030529619358651144,-0.002928674510814633,0.004700625355031338,0.0008455806605279712,-0.0026099863076306518,0.01139786559940352,0.004319694137090296,403.3518524169922
